"Pending Pre-Order", "Pending Pre-Order" 
"is Pre-Order", "Có đặt trước"
"not Available", "Hiện không có"
"Pre-Ordered", "Đã đặt hàng trước"
"This product is Pre-Order and cannot be shipped", "Đây là sản phẩm đặt trước nên không thể được giao ngay cho bạn"
"Pre-Orders", "Đặt hàng trước"
"Pre-Order","Đặt trước"
"We are sorry. You can only have either pre-order items or regular items in your cart. The items below were removed. You can purchase them as a separate order.", "Rất tiếc, bạn chỉ có thể thêm Sản phẩm đặt trước hoặc Sản phẩm thông thường vào giỏ hàng. Vì vậy, những sản phẩm bên dưới đã bị loại bỏ. Bạn có thể đặt mua chúng trong một đơn hàng riêng."
"You can only have either pre-order items or regular items in your cart.", "Bạn chỉ có thể thêm Sản phẩm đặt trước hoặc Sản phẩm thông thường vào giỏ hàng."  
